Altium Designer Pick and Place Locations
C:\Users\aboud\OneDrive\Documents\Robotics\git2\rover-pcb\Projects\arm_v3\Project Outputs for arm_v3\Pick Place\Pick Place for arm_v3.txt

========================================================================================================================
File Design Information:

Date:       06/06/21
Time:       16:03
Revision:   44487757c0db2055aa306e966130ce43a284c0bd
Variant:    No variations
Units used: mil

Designator Comment           Layer       Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                
R30        150               TopLayer    RES_0402_M                5125.000      2980.000      180      "RES SMD 10K OHM 1% 1/10W 0402"                            
R29        150               TopLayer    RES_0402_M                5125.000      2880.000      180      "RES SMD 10K OHM 1% 1/10W 0402"                            
R32        150               TopLayer    RES_0402_M                5125.000      3170.000      180      "RES SMD 10K OHM 1% 1/10W 0402"                            
R31        150               TopLayer    RES_0402_M                5125.000      3075.000      180      "RES SMD 10K OHM 1% 1/10W 0402"                            
R28        150               TopLayer    RES_0402_M                5125.000      2785.000      180      "RES SMD 10K OHM 1% 1/10W 0402"                            
R27        150               TopLayer    RES_0402_M                5125.000      2685.000      180      "RES SMD 10K OHM 1% 1/10W 0402"                            
P9         "Limit Switch"    TopLayer    CON_1053141112            5502.874      2930.787      270      "No Description Available"                                 
P4         BDC_C             TopLayer    436500227                 2680.945      4596.417      360      Connector                                                  
P3         BDC_B             TopLayer    436500227                 3580.945      4596.417      360      Connector                                                  
P2         BDC_A             TopLayer    436500227                 4470.945      4596.417      360      Connector                                                  
P5         "ENC A&B"         TopLayer    1053091106                5661.378      3616.063      90       Connector                                                  
P8         76825-0006        TopLayer    Molex_76825-0006_0        2794.213      3609.803      270      ""                                                         
U2         TM4C123GH6PMI     TopLayer    TSQFP50P1200X1200X120-64N 3669.528      2890.512      90       "Tiva TM4C123GH6PM Microcontroller ARM Cortex 80 MHz FPU"  
USB1       "USB type-B jack" TopLayer    USB2.5-2H4E               2687.716      2032.992      180      "USB type-B jack"                                          
U4         DRV8874-Q1        BottomLayer SOIC_PWPRQ1_TEX           4460.000      4031.180      0        "No Description Available"                                 
X1         "CRYSTAL 16MHZ"   TopLayer    CRYSTAL_3.2x2.5           3693.504      3263.307      180      "CRYSTAL 16MHZ 20PF SMD"                                   
U6         DRV8874-Q1        BottomLayer SOIC_PWPRQ1_TEX           2660.000      4041.180      0        "No Description Available"                                 
U5         DRV8874-Q1        BottomLayer SOIC_PWPRQ1_TEX           3565.000      4036.180      0        "No Description Available"                                 
U3         FT230XQ           TopLayer    QFN65P400X400X80_HS-17N   4155.000      2350.000      360      "IC USB SERIAL BASIC UART 16QFN"                           
U1         MCP1825S-3302E/DB TopLayer    SOT230P700X180-4N         5533.818      2065.000      360      "500 mA, Low Voltage, Low Quiescent Current LDO Regulator" 
R26        16K               BottomLayer RES_0402_M                2365.000      4320.000      180      "RES SMD 0 OHM JUMPER 1/16W 0402"                          
R25        16K               BottomLayer RES_0402_M                2365.002      4186.180      0        "RES SMD 0 OHM JUMPER 1/16W 0402"                          
R24        5K                BottomLayer RES_0402_M                2364.999      4461.180      180      "RES SMD 0 OHM JUMPER 1/16W 0402"                          
