Altium Designer Pick and Place Locations
C:\Users\aboud\OneDrive\Documents\Robotics\git2\rover-pcb\Projects\power\Project Outputs for PowerSystem\Pick Place\Pick Place for PCB_power.txt

========================================================================================================================
File Design Information:

Date:       06/06/21
Time:       15:16
Revision:   953a6325e16b4b173a162897310cee44be482c61
Variant:    No variations
Units used: mil

Designator       Comment              Layer    Footprint                 Center-X(mil) Center-Y(mil) Rotation            Description                                                
J?               1-2351965-2          TopLayer 123519652                 4608.825      3340.394      360                 Connector                                                  
"TO KILL SWITCH" B2B-XH-A(LF)(SN)     TopLayer CONN_B2B-XH-A(LF)(SN)_JST 918.293       3979.213      270                 "No Description Available"                                 
J7               42820-2224           TopLayer 428202224                 2922.441      6794.409      180                 Connector                                                  
J6               76829-0004           TopLayer 768290004                 7029.193      3507.795      270                 Connector                                                  
J5               76829-0004           TopLayer 768290004                 5514.193      6401.614      270                 Connector                                                  
F4               3557-2               TopLayer CONN_3557-2_KEY           4935.000      5530.000      360                 "No Description Available"                                 
F3               3557-2               TopLayer CONN_3557-2_KEY           4880.000      7000.000      360                 "No Description Available"                                 
J4               76829-0002           TopLayer 768290002                 4248.602      5507.913      90                  Connector                                                  
J3               76829-0002           TopLayer 768290002                 4205.807      7020.000      90                  Connector                                                  
J2               76829-0002           TopLayer 768290002                 4198.602      6360.000      90                  CPU                                                        
D4               1N4148W-7-F          TopLayer SOD123_DIO                4847.913      4330.000      360                 "No Description Available"                                 
J1               42820-2224           TopLayer 428202224                 1428.149      6828.740      180                 Connector                                                  
F7               0606050.UXTHP        TopLayer 0606050UXTHP              2848.102      5827.293      140                 Fuse                                                       
F6               0606050.UXTHP        TopLayer 0606050UXTHP              1696.898      5854.596      140                 Fuse                                                       
F2               3557-2               TopLayer CONN_3557-2_KEY           4860.000      6325.713      360                 "No Description Available"                                 
Q1               FMMT614TA            TopLayer SOT95P230X110-3N          4945.000      4483.143      180                 "Transistor BJT NPN"                                       
U4               INA3221AQRGVRQ1      TopLayer RGV16_2P16X2P16_          5693.280      4350.001      270                 "No Description Available"                                 
U2               TM4C123GH6PMI        TopLayer TSQFP50P1200X1200X120-64N 6380.512      5514.013      360                 "Tiva TM4C123GH6PM Microcontroller ARM Cortex 80 MHz FPU"  
U3               FT230XQ              TopLayer QFN65P400X400X80_HS-17N   6016.615      6490.233      90                  "IC USB SERIAL BASIC UART 16QFN"                           
R28              ""                   TopLayer J1-0603                   5205.000      4549.528      270                 Resistor                                                   
R0               WSK06125L000FEA      TopLayer RES_WSK0612_VIS           2734.843      3262.422      270                 "No Description Available"                                 
R27              WSK06125L000FEA      TopLayer RES_WSK0612_VIS           6555.157      3272.421      270                 "No Description Available"                                 
R26              WSK06125L000FEA      TopLayer RES_WSK0612_VIS           6257.087      3277.578      270                 "No Description Available"                                 
R25              WSK06125L000FEA      TopLayer RES_WSK0612_VIS           5959.841      3262.586      270                 "No Description Available"                                 
R24              WSK06125L000FEA      TopLayer RES_WSK0612_VIS           3239.843      3257.578      270                 "No Description Available"                                 
R23              WSK06125L000FEA      TopLayer RES_WSK0612_VIS           2045.158      3257.578      270                 "No Description Available"                                 
